# id	family	variant	a	b	name	hx	hy	hz	mass
63	2	15	8	1	Кубик-счёт 8	0.215	0.215	0.215	0.3
64	2	16	1	2	Рельефный куб 1	0.24	0.24	0.24	0.3
65	2	17	2	2	Рельефный куб 2	0.24	0.24	0.24	0.3
66	2	18	3	2	Рельефный куб 3	0.24	0.24	0.24	0.3
67	2	19	4	2	Рельефный куб 4	0.24	0.24	0.24	0.3
68	2	20	5	2	Рельефный куб 5	0.24	0.24	0.24	0.3
69	2	21	6	2	Рельефный куб 6	0.24	0.24	0.24	0.3
70	2	22	7	2	Рельефный куб 7	0.24	0.24	0.24	0.3
71	2	23	8	2	Рельефный куб 8	0.24	0.24	0.24	0.3
72	3	0	0	0	Домино 0|0	0.15	0.065	0.3	0.2
73	3	1	0	1	Домино 0|1	0.15	0.065	0.3	0.2
74	3	2	0	2	Домино 0|2	0.15	0.065	0.3	0.2
75	3	3	0	3	Домино 0|3	0.15	0.065	0.3	0.2
76	3	4	0	4	Домино 0|4	0.15	0.065	0.3	0.2
77	3	5	0	5	Домино 0|5	0.15	0.065	0.3	0.2
78	3	6	0	6	Домино 0|6	0.15	0.065	0.3	0.2
79	3	8	1	1	Домино 1|1	0.15	0.065	0.3	0.2
80	3	9	1	2	Домино 1|2	0.15	0.065	0.3	0.2
81	3	10	1	3	Домино 1|3	0.15	0.065	0.3	0.2
82	3	11	1	4	Домино 1|4	0.15	0.065	0.3	0.2
83	3	12	1	5	Домино 1|5	0.15	0.065	0.3	0.2
84	3	13	1	6	Домино 1|6	0.15	0.065	0.3	0.2
85	3	16	2	2	Домино 2|2	0.15	0.065	0.3	0.2
86	3	17	2	3	Домино 2|3	0.15	0.065	0.3	0.2
87	3	18	2	4	Домино 2|4	0.15	0.065	0.3	0.2
88	3	19	2	5	Домино 2|5	0.15	0.065	0.3	0.2
89	3	20	2	6	Домино 2|6	0.15	0.065	0.3	0.2
90	3	24	3	3	Домино 3|3	0.15	0.065	0.3	0.2
91	3	25	3	4	Домино 3|4	0.15	0.065	0.3	0.2
92	3	26	3	5	Домино 3|5	0.15	0.065	0.3	0.2
93	3	27	3	6	Домино 3|6	0.15	0.065	0.3	0.2
94	3	32	4	4	Домино 4|4	0.15	0.065	0.3	0.2
95	3	33	4	5	Домино 4|5	0.15	0.065	0.3	0.2
96	3	34	4	6	Домино 4|6	0.15	0.065	0.3	0.2
97	3	40	5	5	Домино 5|5	0.15	0.065	0.3	0.2
98	3	41	5	6	Домино 5|6	0.15	0.065	0.3	0.2
99	3	48	6	6	Домино 6|6	0.15	0.065	0.3	0.2
100	4	0	1	2	Кирпич 1×2	0.085	0.105	0.17	0.17199999
101	4	1	2	2	Кирпич 2×2	0.17	0.105	0.17	0.224
102	4	2	3	2	Кирпич 3×2	0.255	0.105	0.17	0.276
103	4	3	4	2	Кирпич 4×2	0.34	0.105	0.17	0.328
104	4	4	1	3	Кирпич 1×3	0.085	0.105	0.255	0.198
105	4	5	2	3	Кирпич 2×3	0.17	0.105	0.255	0.276
106	4	6	3	3	Кирпич 3×3	0.255	0.105	0.255	0.354
107	4	7	4	3	Кирпич 4×3	0.34	0.105	0.255	0.432
108	4	8	1	2	Пластина 1×2	0.085	0.045	0.17	0.17199999
109	4	9	2	2	Пластина 2×2	0.17	0.045	0.17	0.224
110	4	10	3	2	Пластина 3×2	0.255	0.045	0.17	0.276
111	4	11	4	2	Пластина 4×2	0.34	0.045	0.17	0.328
112	4	12	1	3	Пластина 1×3	0.085	0.045	0.255	0.198
113	4	13	2	3	Пластина 2×3	0.17	0.045	0.255	0.276
114	4	14	3	3	Пластина 3×3	0.255	0.045	0.255	0.354
115	4	15	4	3	Пластина 4×3	0.34	0.045	0.255	0.432
116	4	16	1	2	Угловая деталь 1×2	0.085	0.105	0.17	0.17199999
117	4	17	2	2	Угловая деталь 2×2	0.17	0.105	0.17	0.224
118	4	18	3	2	Угловая деталь 3×2	0.255	0.105	0.17	0.276
119	4	19	4	2	Угловая деталь 4×2	0.34	0.105	0.17	0.328
120	4	20	1	3	Угловая деталь 1×3	0.085	0.105	0.255	0.198
121	4	21	2	3	Угловая деталь 2×3	0.17	0.105	0.255	0.276
122	4	22	3	3	Угловая деталь 3×3	0.255	0.105	0.255	0.354
123	4	23	4	3	Угловая деталь 4×3	0.34	0.105	0.255	0.432
124	4	24	1	2	Арка 1×2	0.085	0.16	0.17	0.17199999
125	4	25	2	2	Арка 2×2	0.17	0.16	0.17	0.224
126	4	26	3	2	Арка 3×2	0.255	0.16	0.17	0.276
127	4	27	4	2	Арка 4×2	0.34	0.16	0.17	0.328
128	4	28	1	3	Арка 1×3	0.085	0.16	0.255	0.198
129	4	29	2	3	Арка 2×3	0.17	0.16	0.255	0.276
130	4	30	3	3	Арка 3×3	0.255	0.16	0.255	0.354
131	4	31	4	3	Арка 4×3	0.34	0.16	0.255	0.432
132	4	32	1	2	Скос 1×2	0.085	0.105	0.17	0.17199999
133	4	33	2	2	Скос 2×2	0.17	0.105	0.17	0.224
134	4	34	3	2	Скос 3×2	0.255	0.105	0.17	0.276
135	4	35	4	2	Скос 4×2	0.34	0.105	0.17	0.328
136	4	36	1	3	Скос 1×3	0.085	0.105	0.255	0.198
137	4	37	2	3	Скос 2×3	0.17	0.105	0.255	0.276
138	4	38	3	3	Скос 3×3	0.255	0.105	0.255	0.354
139	4	39	4	3	Скос 4×3	0.34	0.105	0.255	0.432
140	5	0	0	0	Медведь · классическая	0.38	0.38	0.38	0.7
141	5	1	1	0	Заводной робот · классическая	0.38	0.38	0.38	0.7
142	5	2	2	0	Ракета · классическая	0.38	0.38	0.38	0.7
143	5	3	3	0	Гоночная машинка · классическая	0.38	0.38	0.38	0.7
144	5	4	4	0	Резиновая утка · классическая	0.38	0.38	0.38	0.7
145	5	5	5	0	Самолёт · классическая	0.38	0.38	0.38	0.7
146	5	6	6	0	Волчок · классическая	0.38	0.38	0.38	0.7
147	5	7	7	0	Пирамидка · классическая	0.38	0.38	0.38	0.7
148	5	8	8	0	Барабан · классическая	0.38	0.38	0.38	0.7
149	5	9	9	0	Паровоз · классическая	0.38	0.38	0.38	0.7
150	5	10	10	0	Ксилофон · классическая	0.38	0.38	0.38	0.7
151	5	11	11	0	Динозавр · классическая	0.38	0.38	0.38	0.7
152	5	12	12	0	Кораблик · классическая	0.38	0.38	0.38	0.7
153	5	13	13	0	Телефон на колёсах · классическая	0.38	0.38	0.38	0.7
154	5	14	14	0	Кукла · классическая	0.38	0.38	0.38	0.7
155	5	15	15	0	Погремушка · классическая	0.38	0.38	0.38	0.7
156	5	16	16	0	Ёлочка · классическая	0.38	0.38	0.38	0.7
157	5	17	17	0	Игрушечный замок · классическая	0.38	0.38	0.38	0.7
158	5	18	18	0	Телескоп · классическая	0.38	0.38	0.38	0.7
159	5	19	19	0	Рыба · классическая	0.38	0.38	0.38	0.7
160	5	20	20	0	Карусель · классическая	0.38	0.38	0.38	0.7
161	5	21	21	0	Лопатка · классическая	0.38	0.38	0.38	0.7
162	5	22	22	0	Ведёрко · классическая	0.38	0.38	0.38	0.7
163	5	23	23	0	Лошадка-качалка · классическая	0.38	0.38	0.38	0.7
164	5	24	24	0	Вертолёт · классическая	0.38	0.38	0.38	0.7
165	5	25	25	0	Луноход · классическая	0.38	0.38	0.38	0.7
166	5	26	26	0	Плюшевый заяц · классическая	0.38	0.38	0.38	0.7
167	5	27	27	0	Осьминог · классическая	0.38	0.38	0.38	0.7
168	5	28	28	0	Робот-паук · классическая	0.38	0.38	0.38	0.7
169	5	29	29	0	Йо-йо · классическая	0.38	0.38	0.38	0.7
170	5	30	0	1	Медведь · механическая	0.47	0.47	0.47	0.95
171	5	31	1	1	Заводной робот · механическая	0.47	0.47	0.47	0.95
172	5	32	2	1	Ракета · механическая	0.47	0.47	0.47	0.95
173	5	33	3	1	Гоночная машинка · механическая	0.47	0.47	0.47	0.95
174	5	34	4	1	Резиновая утка · механическая	0.47	0.47	0.47	0.95
175	5	35	5	1	Самолёт · механическая	0.47	0.47	0.47	0.95
176	5	36	6	1	Волчок · механическая	0.47	0.47	0.47	0.95
177	5	37	7	1	Пирамидка · механическая	0.47	0.47	0.47	0.95
178	5	38	8	1	Барабан · механическая	0.47	0.47	0.47	0.95
179	5	39	9	1	Паровоз · механическая	0.47	0.47	0.47	0.95
180	5	40	10	1	Ксилофон · механическая	0.47	0.47	0.47	0.95
181	5	41	11	1	Динозавр · механическая	0.47	0.47	0.47	0.95
182	5	42	12	1	Кораблик · механическая	0.47	0.47	0.47	0.95
183	5	43	13	1	Телефон на колёсах · механическая	0.47	0.47	0.47	0.95
184	5	44	14	1	Кукла · механическая	0.47	0.47	0.47	0.95
185	5	45	15	1	Погремушка · механическая	0.47	0.47	0.47	0.95
186	5	46	16	1	Ёлочка · механическая	0.47	0.47	0.47	0.95
187	5	47	17	1	Игрушечный замок · механическая	0.47	0.47	0.47	0.95
188	5	48	18	1	Телескоп · механическая	0.47	0.47	0.47	0.95
189	5	49	19	1	Рыба · механическая	0.47	0.47	0.47	0.95
190	5	50	20	1	Карусель · механическая	0.47	0.47	0.47	0.95
191	5	51	21	1	Лопатка · механическая	0.47	0.47	0.47	0.95
192	5	52	22	1	Ведёрко · механическая	0.47	0.47	0.47	0.95
193	5	53	23	1	Лошадка-качалка · механическая	0.47	0.47	0.47	0.95
194	5	54	24	1	Вертолёт · механическая	0.47	0.47	0.47	0.95
195	5	55	25	1	Луноход · механическая	0.47	0.47	0.47	0.95
196	5	56	26	1	Плюшевый заяц · механическая	0.47	0.47	0.47	0.95
197	5	57	27	1	Осьминог · механическая	0.47	0.47	0.47	0.95
198	5	58	28	1	Робот-паук · механическая	0.47	0.47	0.47	0.95
199	5	59	29	1	Йо-йо · механическая	0.47	0.47	0.47	0.95
200	6	0	0	0	Кинескопный телевизор · старый мир	0.4	0.4	0.4	2.1
201	6	1	1	0	Дисковый телефон · старый мир	0.4	0.4	0.4	2.1
202	6	2	2	0	Часы с колоколами · старый мир	0.4	0.4	0.4	2.1
203	6	3	3	0	Радиоприёмник · старый мир	0.4	0.4	0.4	2.1
204	6	4	4	0	Дорожный конус · старый мир	0.4	0.4	0.4	2.1
205	6	5	5	0	Чемодан · старый мир	0.4	0.4	0.4	2.1
206	6	6	6	0	Чайник · старый мир	0.4	0.4	0.4	2.1
207	6	7	7	0	Граммофон · старый мир	0.4	0.4	0.4	2.1
208	6	8	8	0	Огнетушитель · старый мир	0.4	0.4	0.4	2.1
209	6	9	9	0	Автомобильная шина · старый мир	0.4	0.4	0.4	2.1
210	6	10	10	0	Шестерня · старый мир	0.4	0.4	0.4	2.1
211	6	11	11	0	Уличный фонарь · старый мир	0.4	0.4	0.4	2.1
212	6	12	12	0	Почтовый ящик · старый мир	0.4	0.4	0.4	2.1
213	6	13	13	0	Тостер · старый мир	0.4	0.4	0.4	2.1
214	6	14	14	0	Фотокамера · старый мир	0.4	0.4	0.4	2.1
215	6	15	15	0	Ботинок · старый мир	0.4	0.4	0.4	2.1
216	6	16	16	0	Шлем космонавта · старый мир	0.4	0.4	0.4	2.1
217	6	17	17	0	Спутник · старый мир	0.4	0.4	0.4	2.1
218	6	18	18	0	Светофор · старый мир	0.4	0.4	0.4	2.1
219	6	19	19	0	Песочные часы · старый мир	0.4	0.4	0.4	2.1
220	6	20	0	1	Кинескопный телевизор · другая эпоха	0.56	0.56	0.56	3.3999999
221	6	21	1	1	Дисковый телефон · другая эпоха	0.56	0.56	0.56	3.3999999
222	6	22	2	1	Часы с колоколами · другая эпоха	0.56	0.56	0.56	3.3999999
223	6	23	3	1	Радиоприёмник · другая эпоха	0.56	0.56	0.56	3.3999999
224	6	24	4	1	Дорожный конус · другая эпоха	0.56	0.56	0.56	3.3999999
225	6	25	5	1	Чемодан · другая эпоха	0.56	0.56	0.56	3.3999999
226	6	26	6	1	Чайник · другая эпоха	0.56	0.56	0.56	3.3999999
227	6	27	7	1	Граммофон · другая эпоха	0.56	0.56	0.56	3.3999999
228	6	28	8	1	Огнетушитель · другая эпоха	0.56	0.56	0.56	3.3999999
229	6	29	9	1	Автомобильная шина · другая эпоха	0.56	0.56	0.56	3.3999999
230	6	30	10	1	Шестерня · другая эпоха	0.56	0.56	0.56	3.3999999
231	6	31	11	1	Уличный фонарь · другая эпоха	0.56	0.56	0.56	3.3999999
232	6	32	12	1	Почтовый ящик · другая эпоха	0.56	0.56	0.56	3.3999999
233	6	33	13	1	Тостер · другая эпоха	0.56	0.56	0.56	3.3999999
234	6	34	14	1	Фотокамера · другая эпоха	0.56	0.56	0.56	3.3999999
235	6	35	15	1	Ботинок · другая эпоха	0.56	0.56	0.56	3.3999999
236	6	36	16	1	Шлем космонавта · другая эпоха	0.56	0.56	0.56	3.3999999
237	6	37	17	1	Спутник · другая эпоха	0.56	0.56	0.56	3.3999999
238	6	38	18	1	Светофор · другая эпоха	0.56	0.56	0.56	3.3999999
239	6	39	19	1	Песочные часы · другая эпоха	0.56	0.56	0.56	3.3999999
